[Measurement conditions]
Sample identification,3360-302
Comment,
Anode material,Co
K-Alpha1 wavelength,1.7890100
K-Alpha2 wavelength,1.7929000
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current,  8
File date and time,25/3ÔÂ/2025 04:48
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,19.998000000,89.999606480
Scan step size,0.0217329
No. of points, 3221
Scan type,CONTINUOUS
Time per step,60.945
[Scan points]
Angle, TimePerStep, Intensity, ESD
20.008866440, 60.945, 4094.0, 63.9844
20.030599320, 60.945, 4163.0, 64.5213
20.052332200, 60.945, 4068.0, 63.7809
20.074065080, 60.945, 4018.0, 63.3877
20.095797960, 60.945, 4157.0, 64.4748
20.117530840, 60.945, 4090.0, 63.9531
20.139263720, 60.945, 4132.0, 64.2806
20.160996600, 60.945, 4169.0, 64.5678
20.182729480, 60.945, 4240.0, 65.1153
20.204462360, 60.945, 4186.0, 64.6993
20.226195240, 60.945, 4198.0, 64.7920
20.247928120, 60.945, 4095.0, 63.9922
20.269661000, 60.945, 4141.0, 64.3506
20.291393880, 60.945, 4121.0, 64.1950
20.313126760, 60.945, 4160.0, 64.4981
20.334859640, 60.945, 4198.0, 64.7920
20.356592520, 60.945, 4033.0, 63.5059
20.378325400, 60.945, 4098.0, 64.0156
20.400058280, 60.945, 4061.0, 63.7260
20.421791160, 60.945, 4255.0, 65.2304
20.443524040, 60.945, 4068.0, 63.7809
20.465256920, 60.945, 4168.0, 64.5600
20.486989800, 60.945, 4062.0, 63.7338
20.508722680, 60.945, 4033.0, 63.5059
20.530455560, 60.945, 4175.0, 64.6142
20.552188440, 60.945, 4112.0, 64.1249
20.573921320, 60.945, 4127.0, 64.2417
20.595654200, 60.945, 4048.0, 63.6239
20.617387080, 60.945, 4157.0, 64.4748
20.639119960, 60.945, 4165.0, 64.5368
20.660852840, 60.945, 4179.0, 64.6452
20.682585720, 60.945, 4131.0, 64.2729
20.704318600, 60.945, 4195.0, 64.7688
20.726051480, 60.945, 4081.0, 63.8827
20.747784360, 60.945, 4182.0, 64.6684
20.769517240, 60.945, 4187.0, 64.7070
20.791250120, 60.945, 4142.0, 64.3584
20.812983000, 60.945, 4021.0, 63.4114
20.834715880, 60.945, 4153.0, 64.4438
20.856448760, 60.945, 4132.0, 64.2806
20.878181640, 60.945, 4133.0, 64.2884
20.899914520, 60.945, 4062.0, 63.7338
20.921647400, 60.945, 4093.0, 63.9766
20.943380280, 60.945, 4060.0, 63.7181
20.965113160, 60.945, 4206.0, 64.8537
20.986846040, 60.945, 4142.0, 64.3584
21.008578920, 60.945, 4070.0, 63.7966
21.030311800, 60.945, 4032.0, 63.4980
21.052044680, 60.945, 4157.0, 64.4748
21.073777560, 60.945, 4086.0, 63.9218
21.095510440, 60.945, 4091.0, 63.9609
21.117243320, 60.945, 4088.0, 63.9375
21.138976200, 60.945, 4091.0, 63.9609
21.160709080, 60.945, 4129.0, 64.2573
21.182441960, 60.945, 4199.0, 64.7997
21.204174840, 60.945, 4152.0, 64.4360
21.225907720, 60.945, 4153.0, 64.4438
21.247640600, 60.945, 4116.0, 64.1561
21.269373480, 60.945, 4010.0, 63.3246
21.291106360, 60.945, 4107.0, 64.0859
21.312839240, 60.945, 4238.0, 65.0999
21.334572120, 60.945, 4169.0, 64.5678
21.356305000, 60.945, 4202.0, 64.8228
21.378037880, 60.945, 4094.0, 63.9844
21.399770760, 60.945, 4063.0, 63.7417
21.421503640, 60.945, 4123.0, 64.2106
21.443236520, 60.945, 4132.0, 64.2806
21.464969400, 60.945, 4145.0, 64.3817
21.486702280, 60.945, 4110.0, 64.1093
21.508435160, 60.945, 4147.0, 64.3972
21.530168040, 60.945, 4108.0, 64.0937
21.551900920, 60.945, 3983.0, 63.1110
21.573633800, 60.945, 4148.0, 64.4050
21.595366680, 60.945, 4156.0, 64.4670
21.617099560, 60.945, 4126.0, 64.2339
21.638832440, 60.945, 4037.0, 63.5374
21.660565320, 60.945, 4188.0, 64.7148
21.682298200, 60.945, 4084.0, 63.9062
21.704031080, 60.945, 4094.0, 63.9844
21.725763960, 60.945, 4086.0, 63.9218
21.747496840, 60.945, 4080.0, 63.8749
21.769229720, 60.945, 4049.0, 63.6318
21.790962600, 60.945, 4066.0, 63.7652
21.812695480, 60.945, 4159.0, 64.4903
21.834428360, 60.945, 4066.0, 63.7652
21.856161240, 60.945, 4077.0, 63.8514
21.877894120, 60.945, 4249.0, 65.1844
21.899627000, 60.945, 3999.0, 63.2376
21.921359880, 60.945, 3970.0, 63.0079
21.943092760, 60.945, 4086.0, 63.9218
21.964825640, 60.945, 4170.0, 64.5755
21.986558520, 60.945, 4154.0, 64.4515
22.008291400, 60.945, 4167.0, 64.5523
22.030024280, 60.945, 4181.0, 64.6607
22.051757160, 60.945, 4076.0, 63.8436
22.073490040, 60.945, 4170.0, 64.5755
22.095222920, 60.945, 4099.0, 64.0234
22.116955800, 60.945, 3972.0, 63.0238
22.138688680, 60.945, 4109.0, 64.1015
22.160421560, 60.945, 4140.0, 64.3428
22.182154440, 60.945, 4044.0, 63.5925
22.203887320, 60.945, 4164.0, 64.5291
22.225620200, 60.945, 4160.0, 64.4981
22.247353080, 60.945, 4163.0, 64.5213
22.269085960, 60.945, 4250.0, 65.1920
22.290818840, 60.945, 4215.0, 64.9230
22.312551720, 60.945, 4068.0, 63.7809
22.334284600, 60.945, 4119.0, 64.1794
22.356017480, 60.945, 4129.0, 64.2573
22.377750360, 60.945, 4061.0, 63.7260
22.399483240, 60.945, 4147.0, 64.3972
22.421216120, 60.945, 4160.0, 64.4981
22.442949000, 60.945, 4246.0, 65.1613
22.464681880, 60.945, 4215.0, 64.9230
22.486414760, 60.945, 4174.0, 64.6065
22.508147640, 60.945, 4163.0, 64.5213
22.529880520, 60.945, 3964.0, 62.9603
22.551613400, 60.945, 4157.0, 64.4748
22.573346280, 60.945, 4016.0, 63.3719
22.595079160, 60.945, 4102.0, 64.0469
22.616812040, 60.945, 4210.0, 64.8845
22.638544920, 60.945, 4126.0, 64.2339
22.660277800, 60.945, 4086.0, 63.9218
22.682010680, 60.945, 4140.0, 64.3428
22.703743560, 60.945, 4140.0, 64.3428
22.725476440, 60.945, 4171.0, 64.5833
22.747209320, 60.945, 4127.0, 64.2417
22.768942200, 60.945, 4149.0, 64.4127
22.790675080, 60.945, 4227.0, 65.0154
22.812407960, 60.945, 4244.0, 65.1460
22.834140840, 60.945, 4128.0, 64.2495
22.855873720, 60.945, 4098.0, 64.0156
22.877606600, 60.945, 4058.0, 63.7024
22.899339480, 60.945, 4125.0, 64.2262
22.921072360, 60.945, 4139.0, 64.3351
22.942805240, 60.945, 4004.0, 63.2772
22.964538120, 60.945, 4083.0, 63.8984
22.986271000, 60.945, 4088.0, 63.9375
23.008003880, 60.945, 4048.0, 63.6239
23.029736760, 60.945, 4127.0, 64.2417
23.051469640, 60.945, 4106.0, 64.0781
23.073202520, 60.945, 4068.0, 63.7809
23.094935400, 60.945, 4173.0, 64.5988
23.116668280, 60.945, 4080.0, 63.8749
23.138401160, 60.945, 4156.0, 64.4670
23.160134040, 60.945, 4214.0, 64.9153
23.181866920, 60.945, 4178.0, 64.6375
23.203599800, 60.945, 4290.0, 65.4981
23.225332680, 60.945, 4128.0, 64.2495
23.247065560, 60.945, 4116.0, 64.1561
23.268798440, 60.945, 4110.0, 64.1093
23.290531320, 60.945, 4098.0, 64.0156
23.312264200, 60.945, 4152.0, 64.4360
23.333997080, 60.945, 4106.0, 64.0781
23.355729960, 60.945, 4084.0, 63.9062
23.377462840, 60.945, 4142.0, 64.3584
23.399195720, 60.945, 4068.0, 63.7809
23.420928600, 60.945, 4300.0, 65.5744
23.442661480, 60.945, 4242.0, 65.1306
23.464394360, 60.945, 4099.0, 64.0234
23.486127240, 60.945, 3970.0, 63.0079
23.507860120, 60.945, 4151.0, 64.4283
23.529593000, 60.945, 4152.0, 64.4360
23.551325880, 60.945, 4128.0, 64.2495
23.573058760, 60.945, 4164.0, 64.5291
23.594791640, 60.945, 4104.0, 64.0625
23.616524520, 60.945, 4160.0, 64.4981
23.638257400, 60.945, 4056.0, 63.6867
23.659990280, 60.945, 4012.0, 63.3404
23.681723160, 60.945, 4087.0, 63.9296
23.703456040, 60.945, 4084.0, 63.9062
23.725188920, 60.945, 4156.0, 64.4670
23.746921800, 60.945, 4095.0, 63.9922
23.768654680, 60.945, 4149.0, 64.4127
23.790387560, 60.945, 4093.0, 63.9766
23.812120440, 60.945, 4156.0, 64.4670
23.833853320, 60.945, 4057.0, 63.6946
23.855586200, 60.945, 4042.0, 63.5767
23.877319080, 60.945, 4111.0, 64.1171
23.899051960, 60.945, 4212.0, 64.8999
23.920784840, 60.945, 4078.0, 63.8592
23.942517720, 60.945, 3988.0, 63.1506
23.964250600, 60.945, 4079.0, 63.8670
23.985983480, 60.945, 4106.0, 64.0781
24.007716360, 60.945, 4066.0, 63.7652
24.029449240, 60.945, 4024.0, 63.4350
24.051182120, 60.945, 4043.0, 63.5846
24.072915000, 60.945, 4108.0, 64.0937
24.094647880, 60.945, 4030.0, 63.4823
24.116380760, 60.945, 4118.0, 64.1716
24.138113640, 60.945, 4166.0, 64.5446
24.159846520, 60.945, 4097.0, 64.0078
24.181579400, 60.945, 4062.0, 63.7338
24.203312280, 60.945, 4093.0, 63.9766
24.225045160, 60.945, 4140.0, 64.3428
24.246778040, 60.945, 4108.0, 64.0937
24.268510920, 60.945, 4062.0, 63.7338
24.290243800, 60.945, 4087.0, 63.9296
24.311976680, 60.945, 4147.0, 64.3972
24.333709560, 60.945, 4166.0, 64.5446
24.355442440, 60.945, 4089.0, 63.9453
24.377175320, 60.945, 4064.0, 63.7495
24.398908200, 60.945, 4193.0, 64.7534
24.420641080, 60.945, 4096.0, 64.0000
24.442373960, 60.945, 4152.0, 64.4360
24.464106840, 60.945, 4104.0, 64.0625
24.485839720, 60.945, 4076.0, 63.8436
24.507572600, 60.945, 4118.0, 64.1716
24.529305480, 60.945, 4184.0, 64.6838
24.551038360, 60.945, 4177.0, 64.6297
24.572771240, 60.945, 4208.0, 64.8691
24.594504120, 60.945, 4150.0, 64.4205
24.616237000, 60.945, 4037.0, 63.5374
24.637969880, 60.945, 4175.0, 64.6142
24.659702760, 60.945, 4097.0, 64.0078
24.681435640, 60.945, 4086.0, 63.9218
24.703168520, 60.945, 4175.0, 64.6142
24.724901400, 60.945, 4018.0, 63.3877
24.746634280, 60.945, 4147.0, 64.3972
24.768367160, 60.945, 4121.0, 64.1950
24.790100040, 60.945, 4214.0, 64.9153
24.811832920, 60.945, 4139.0, 64.3351
24.833565800, 60.945, 4125.0, 64.2262
24.855298680, 60.945, 3905.0, 62.4900
24.877031560, 60.945, 4008.0, 63.3088
24.898764440, 60.945, 3975.0, 63.0476
24.920497320, 60.945, 4122.0, 64.2028
24.942230200, 60.945, 4103.0, 64.0547
24.963963080, 60.945, 4012.0, 63.3404
24.985695960, 60.945, 4079.0, 63.8670
25.007428840, 60.945, 4040.0, 63.5610
25.029161720, 60.945, 4115.0, 64.1483
25.050894600, 60.945, 4146.0, 64.3894
25.072627480, 60.945, 4091.0, 63.9609
25.094360360, 60.945, 4032.0, 63.4980
25.116093240, 60.945, 4012.0, 63.3404
25.137826120, 60.945, 4023.0, 63.4271
25.159559000, 60.945, 3990.0, 63.1664
25.181291880, 60.945, 4124.0, 64.2184
25.203024760, 60.945, 4088.0, 63.9375
25.224757640, 60.945, 4057.0, 63.6946
25.246490520, 60.945, 4040.0, 63.5610
25.268223400, 60.945, 4195.0, 64.7688
25.289956280, 60.945, 4077.0, 63.8514
25.311689160, 60.945, 4103.0, 64.0547
25.333422040, 60.945, 4193.0, 64.7534
25.355154920, 60.945, 4105.0, 64.0703
25.376887800, 60.945, 4056.0, 63.6867
25.398620680, 60.945, 4106.0, 64.0781
25.420353560, 60.945, 4057.0, 63.6946
25.442086440, 60.945, 4073.0, 63.8201
25.463819320, 60.945, 4013.0, 63.3482
25.485552200, 60.945, 4048.0, 63.6239
25.507285080, 60.945, 4045.0, 63.6003
25.529017960, 60.945, 3980.0, 63.0872
